Deutsch,English
Monsieur,Monsieur
Arme,poor
wüsste,knew
woher,from where
Majestät,majesty
Fertig,Ready
versteht,understands
trifft,meets
Meer,sea
Hut,cap
zuvor,before
lief,ran
Doug,Doug
Haltet,Hold on
Zeitung,Newspaper
Mami,Mommy
schuldig,guilty
bauen,build
Freude,Joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,Never
sprach,spoke
indem,by
gemeint,meant
fühlst,feel
deren,whose
Quatsch,Nonsense
Kugel,Bullet
Klingt,Sounds
hielt,held
Gericht,Court
furchtbar,terrible
Würdest,Would you
Wirst,Will
verpasst,lost
Ohren,ears
Rose,rose
neuer,newer
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,deal
Haar,hair
stehe,stand
fassen,grasp
Ehemann,Husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,over it
Sergeant,sergeant
Verantwortung,Responsibility
Major,major
feiern,celebrate
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,entertain
Stein,Stone
kümmert,takes care
nächstes,next
gewusst,known
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,Cat
DER,THE
geschieht,happens
Brüder,brothers
mitgebracht,brought along
unseres,ours
Verstehe,Understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,in the middle
erinnert,remind
Wahnsinn,Craziness
vorhin,earlier
Neuigkeiten,news
setzt,puts
klasse,class
Einige,Some
zufällig,randomly
Kleid,Dress
Jedenfalls,Anyway
Angebot,Offer
erklärt,explained
stellt,provides
Monica,Monica
Restaurant,restaurant
Kommst,Come on
Zur,To
Serie,series
melden,report
Clark,Clark
Brücke,Bridge
Erinnerungen,Memories
gestellt,placed
Sagt,Says
Schmerzen,Pains
besteht,consists
wwwtvuserde,wwwtvuserde
verdienen,earn
hallo,Hello
offensichtlich,apparently
Fisch,Fish
hängen,hang
Gelegenheit,Opportunity
Endlich,Finally
Möchten,Want
konntest,could
Doctor,Doctor
bekommst,get
Al,Al
Idioten,Idiots
Virus,virus
größte,largest
gingen,went
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,no one
bringst,bring
Süße,sweetness
Nancy,Nancy
irgendwelche,any
Thema,Theme
Date,Date
Stellen,Place
machten,made
diesmal,this time
Guck,Look
Figur,figure
Weisst,You know
ne,no
brechen,break
lacht,laughs
Gar,Even
angetan,impressed
Paar,Couple
Druck,Pressure
mitkommen,come along
Ab,Away
reich,rich
Nie,Never
Mark,mark
Leider,Unfortunately
Fluss,Flow
wirkt,works
Werden,Become
traf,met
schließlich,finally
Richtige,right one
Gewalt,Violence
gelaufen,ran
Ari,Ari
Ray,Ray
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,real
nachgedacht,thought about
Falle,Cases
eigenes,own
Au,Ow
Solange,As long as
Gang,corridor
sahen,saw
erreicht,reached
Willen,will
Tommy,Tommy
solchen,such
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,Animals
Sollte,Should
längst,a long time ago
Don,Don
Autos,cars
Hätte,Would have
wohnt,lives
Max,Max
krieg,war
Jeff,Jeff
fiel,fell
Hose,trousers
Mary,Mary
leiden,Suffer
Hau,Hau
sprichst,speak
freue,am happy
Außer,Except
gebrochen,Broken
Baum,Tree
Kyle,Kyle
gehalten,held
Träume,dreams
Reihe,Row
LA,LA
stelle,Job
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,Wish
erster,first
Befehle,Commands
Bastard,bastard
rief,shouted
Nachdem,After
Toten,Kill
Frühstück,Breakfast
schaffst,create
ihres,hers
aufgeben,give up
Jake,Jake
Gespräch,Conversation
Engel,Angel
verbringen,spend
Terroristen,Terrorists
Erfahrung,Experience
brauchte,needed
schätzen,treasure
seien,be
Nehmt,Take
Bad,bath
Vogel,Bird
Anna,Anna
Roger,Roger
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,track
schläft,is sleeping
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,Yours
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,close
Pistole,gun
lächerlich,ridiculous
Filme,Films
geschlossen,closed
de,de
übrigens,by the way
Phoebe,Phoebe
fragt,asks
Detective,Detective
President,President
Beweis,Proof
frequency,frequency
wichtiger,more important
weinen,cry
Nächste,Next
Zeitpunkt,time
Pläne,plans
Matt,Frosted
Manche,Some
Besser,Better
welches,which
schlägt,beats
Club,Club
Carter,Carter
schönes,beautiful
küssen,kiss
Chandler,Chandler
Scherz,hoax
behandelt,treated
Waren,Were
Madame,Madame
halbe,half
Trotzdem,Despite it
London,London
fair,fair
weiteren,further
Großartig,Great
Farbe,Color
Sara,Sara
Natur,Nature
entdeckt,discovered
Seiten,pages
Gestern,Yesterday
selben,the same
langweilig,boring
Kuchen,Cake
bessere,better
Bürgermeister,mayor
treten,step
lautet,is
größer,greater
stehlen,steal
Knie,Knee
Besonderes,Special
Aha,Aha
heim,home
Regen,Rain
hingehen,go there
Beeil,hurry
gefeuert,fired
Martin,Martin
Koffer,Suitcase
verfolgt,tracked
Geschäfte,businesses
zumindest,at least
umsonst,for free
Wayne,Wayne
Welches,Which
Million,million
Folgen,Follow
dorthin,there
Welcher,Which
daraus,from it
bißchen,a little
Antworten,Answer
Lösung,Solution
hinaus,out
leer,empty
Halte,Hold
Krankheit,Illness
geblieben,remained
City,City
Hank,Hank
hasst,hates
Kräfte,Forces
Sieg,victory
rauf,up
Frag,Ask
passierte,happened
Zufall,Coincidence
San,San
Füße,Feet
geschossen,shot
College,college
heisst,is called
einiges,some
dankbar,thankful
See,lake
mochte,want
Flughafen,Airport
Erklärung,Explanation
Charles,Charles
Rufen,Call
gebrauchen,use
Flasche,Bottle
Englisch,English
sterbe,die
Soldat,soldier
wurdest,became
Kurs,course
jedenfalls,anyway
getrunken,drank
isst,eats
zeig,show
Danach,Thereafter
Je,Je
fühlte,felt
DIE,THE
fliegt,flies
reichen,are sufficient
Erinnerung,Memory
derjenige,the one
einigen,some
nachts,at night
Geschichten,stories
Story,story
Schande,shame
passen,fit
Jedes,Each
Toilette,Toilet
Jones,Jones
Ganze,Whole
fern,remote
Darauf,On it
peinlich,awkward
Fast,Nearly
Eric,Eric
hilf,help
Dreck,dirt
welchem,which one
töte,kill
schafft,creates
Doc,Doc
Mädels,Girls
Worauf,On what
solltet,should
Lüge,lie
verhindern,impede
Holt,Get
erwähnt,mentioned
Tatsache,fact
Pete,Pete
langer,longer
erlaubt,allowed
eingeladen,invited
Code,code
Bald,Soon
Pflicht,Duty
Anzug,Men's suit
angegriffen,attacked
Palmer,Palmer
Karen,Karen
Tatsächlich,Actually
Steig,Rise
Einsatz,Mission
Zweifel,Doubt
Königin,queen
England,England
Direktor,director
Davon,Of that
Schwanz,tail
gewinnt,wins
Schloss,Lock
erschießen,shoot
Guter,Goods
versteh,understand
Trottel,Fool
jungen,boys
Fähigkeiten,skills
dreht,rotates
tötet,kills
spiele,games
klug,smart
zulassen,allow
Seien,Be
lügen,lie
House,House
Hmm,Hmmm
Form,shape
Runde,round
verlangt,demanded
scharf,sharp
lösen,solve
hassen,to hate
wünschen,wish
Tier,animal
Richter,Judge
Karriere,Career
vorbereitet,prepared
Versuchen,Attempt
Stock,floor
Luke,hatch
vertraut,trusted
Sprache,Language
Panik,panic
Martha,Martha
Kuss,kiss
Interesse,interest
Zustand,Condition
überprüfen,check
stören,disturb
ln,ln
kontrollieren,check
freuen,be happy
Schuss,shot
Risiko,risk
gilt,applies
überlebt,survived
Schauen,Look
Mannes,man
huh,huh
Bruce,Bruce
zurückkommen,Come back
Ryan,Ryan
Opa,Grandpa
Cool,Cool
erzählte,told
Übersetzt,Translated
Knochen,Bone
Gern,Gladly
gelogen,lied
Kunden,Customers
Wesen,beings
USA,USA
nachdenken,ponder
Gerade,Straight
gekriegt,got
Big,Big
Braut,bride
wahnsinnig,insane
Oma,granny
Streit,Fight
Polizisten,police officers
stehst,stand
hinterlassen,leave behind
Adam,Adam
Jane,Jane
denk,think
toller,great
jagen,to hunt
nutzen,to use
Red,Red
enden,end up
Blödsinn,Nonsense
Sommer,Summer
Rache,Revenge
gebraucht,needed
Urlaub,Vacation
irre,crazy
Gebt,Give
Kino,movie theater
Radio,radio
Wohl,Probably
merken,notice
zeige,show
abholen,pick up
Keller,"basement, cellar"
stoppen,to stop
Glaub,Believe
Machst,Do
Lügen,Lie
Labor,laboratory
Stopp,stop
zieh,pull
Versprechen,Promise
Warst,You were
schwach,weak
Robert,Robert
Genug,Enough
verliert,loses
Commander,Commander
schreien,scream
Officer,Officer
geschah,happened
Milch,milk
schade,Pity
hinein,into it
geklaut,Stolen
Punkte,Points
Maria,Maria
schlage,hit
Publikum,audience
Kerle,Guys
scheinen,seem
pass,passport
Jede,Every
Gebiet,Area
echten,real
Staaten,States
schaffe,create
Entweder,Either
entführt,kidnapped
einfacher,easier
Werde,Become
fragst,you ask
wart,wait
vermisse,miss
überlegen,superior
Schaut,Looks
Dienst,service
Rennen,Run
beendet,completed
warm,warm
kompliziert,complicated
herein,in
Vertrag,Contract
vermutlich,allegedly
Feinde,Enemies
Anführer,leader
außerhalb,outside
Ihn,Him
Lächeln,Smile
geglaubt,believed
Washington,Washington
soviel,so much
reparieren,repair
einsam,lonely
Scott,Scott
Gäste,Guests
bat,asked
ausgehen,go out
überzeugt,convinced
stärker,stronger
Programm,program
geheiratet,got married
Akte,file
verschiedene,different
Trick,trick
Lager,camp
Großmutter,grandmother
Lex,Lex
knapp,meager
fing,caught
Fang,Catch
hoffen,hope
handelt,acts
erwachsen,adult
Ehren,to honor
Berg,Mountain
Bereit,Ready
wusstest,you knew
Nett,Kind
lebst,live
Götter,Gods
gäbe,would exist
Fernseher,TV
Fahrer,driver
Zugang,Access
Schutz,Protection
gezogen,pulled
Fayed,Fayed
fahr,drive
Song,song
Penny,penny
geb,born
D,D
Verräter,traitor
Geheimnisse,Secrets
eh,eh
annehmen,assume
Dazu,In addition
blind,blind
schickt,sends
Riesen,Giants
schuld,fault
gesamte,entire
Gefällt,Pleases
wünsche,wishes
zählt,counts
verändern,change
Kiste,Box
behandeln,treat
Grenze,Border
Früher,Earlier
Bauch,Belly
steh,stand
schrieb,wrote
riecht,smells
Nachmittag,Afternoon
Vom,From the
vergeben,forgive
Lachen,Laugh
holt,get
Willow,Willow
Vorstellung,Performance
Video,Video
Nächstes,Next
Aufhören,Stop
Sendung,Broadcast
Langsam,Slow
landen,land
erstes,first
woanders,somewhere else
Fahrt,Drive
echter,real
liebte,loved
komplett,completely
getrennt,separated
Affen,Monkeys
Sprich,Speak
Prinz,prince
gedreht,turned
dringend,urgent
Daniel,Daniel
CIA,CIA
verbunden,tied together
schlechten,bad
nackt,naked
Gas,gas
Carl,Carl
Audrey,Audrey
schwul,gay
Irgendwie,Somehow
Deckung,cover
schicke,send
Gras,grass
suchst,are looking for
Gentlemen,gentlemen
Beeilung,Hurry
verletzen,injure
Diesmal,This time
trage,sluggish
desto,the more
Zunge,Tongue
springen,jump
Gewehr,gun
fliehen,flee
aufgenommen,recorded
Angeles,Angeles
merkwürdig,unusual
weiterhin,furthermore
Stuhl,Chair
Star,star
Zahlen,Pay
Vergessen,Forget
Übrigens,By the way
Tode,Deaths
irgend,any
teuer,expensive
Mühe,Effort
Zähne,Teeth
nirgendwo,nowhere
erzähle,tell
Episode,episode
ändert,changes
wofür,for what
Schnitt,cut
Ziemlich,Quite
Zehn,Ten
mindestens,at least
Jeden,Every
eurer,yours
Jerry,Jerry
satt,Fed up
Helden,Heroes
Aufmerksamkeit,Attention
blöde,stupid
Freundschaft,Friendship
Absolut,Absolutely
treffe,meet
Sydney,Sydney
freundlich,friendly
F,F
schwarzen,black
Leitung,Line
folgt,follows
Sechs,Six
Brian,Brian
arme,poor
Wieviel,How much
Szenen,Scenes
Norden,north
Ms,Ms
gesetzt,set
Chief,Chief
verursacht,caused
Roboter,robot
Bender,Bender
Rechnung,The invoice
trauen,trust
Mister,Mister
Hexe,Witch
Ohr,Ear
nehm,take
junger,younger
Freut,Happy
Dieb,Thief
Bedeutung,Meaning
Allerdings,However
h,H
Dingen,things; matters
freut,happy
Ma,Ma
Schlange,Snake
Laut,Loud
klappt,works
Pilot,pilot
morgens,In the morning
Holen,Fetch
Grab,dig
arbeitest,work
extra,extra
bewusst,consciously
Vorwärts,Forward
Verstehen,Understand
Heilige,Saints
verlässt,leaves
Taylor,Taylor
halben,half
endet,ends
Ed,Ed
Selbstmord,Suicide
Schneller,More quickly
Schade,A pity
Mond,moon
Ideen,Ideas
Dabei,Included
Absicht,Intention
Walter,Walter
Projekt,Project
Einheit,Unit
umgehen,evade
Pferde,Horses
gehofft,hoped
Leichen,corpses
Explosion,explosion
Aufnahmen,Recordings
Wilson,Wilson
Töte,Kill
Schatten,Shadow
wählen,choose
Türen,Doors
Kleider,Dresses
Geister,Ghosts
zweimal,twice
William,William
schief,wrong
Morgan,Morgan
Garten,Garden
erzählst,tell
Schönheit,beauty
Hurensohn,Son of a bitch
begann,started
existiert,exists
Bestes,Best
Bühne,stage
verdammter,damned
langen,long
Ton,volume
Nachbarn,Neighbors
mitgenommen,taken away
Worüber,About what
schien,seemed
handeln,act
gemein,mean
Einmal,Once
Brust,Breast
verschwinde,disappear
unternehmen,company
netter,nicer
bester,best
aufgehört,stopped
Wert,Value
reinkommen,come in
Hubschrauber,helicopter
befindet,located
weitermachen,keep going
Harvey,Harvey
Acht,Eight
Wirklichkeit,reality
rauchen,smoke
Genie,genius
einander,each other
Verbrecher,criminal
spielst,play
aufgeregt,upset
Vincent,Vincent
Rom,Rome
Größe,Size
gegenseitig,each other
Unterstützung,Support
me,me
Killer,killer
Hemd,Shirt
Erlaubnis,Permission
Böse,Evil
Ärzte,doctors
Alte,Old
schreibt,writes
Kapitän,captain
größten,biggest
fuhr,drove
nachher,afterward
fährst,drive
entlassen,dismissed
Stop,Stop
Stimmen,Voices
Nerven,Annoy
Freitag,Friday
entwickelt,developed
beobachtet,observed
Tränen,tears
Text,text
Nee,Nope
Mitte,center
St,St
la,la
geraten,devices
Gegner,Opponent
Simpson,Simpson
Josh,Josh
dadurch,through this
Julie,Julie
herauszufinden,to find out
Gast,Guest
setz,put
blieb,stayed
Strom,Electricity
Karma,karma
Schnauze,snout
müssten,would have to
Kunst,Art
besprechen,discuss
Tritt,Kick
Jacke,Jacket
entschuldige,sorry
Alkohol,alcohol
Prozent,percent
Zelle,cell
vergiss,forget
Stich,Sting
Papier,Paper
kenn,know
verboten,forbidden
M,M
Geduld,patience
angeht,concerns
Theater,theatre
Nr,No
menschliche,human
Hatte,Had
schlau,clever
gerufen,called
Agenten,agents
verpassen,miss
Staffel,Squadron
Ruhig,Quiet
kapiert,Got it
Herzlichen,Kind regards
Entschuldigt,Sorry
Emily,Emily
wußte,knew
Menschheit,humanity
Maggie,Maggie
ertragen,bear
bricht,breaks
verwirrt,confused
Hoheit,Your Highness
schaut,looks
Howard,Howard
beeilen,hurry up
Abteilung,Department
Victor,Victor
ums,ums
Schaden,Damage
nette,cute
Chaos,chaos
Bisher,Until now
abhauen,run away
abgeschlossen,completed
Pfund,Pound
innerhalb,within
Botschaft,Message
Regisseur,Director
Großer,Greater
dunkel,dark
Straßen,streets
Senator,senator
antun,do to
ziehe,pull
Verdammte,Damn
Klo,loo
gewählt,chosen
Diesen,This one
unschuldig,innocent
Termin,meeting
Wolf,wolf
enttäuscht,disappointed
vertraue,trust
erkannt,recognized
liest,reads
Wachen,guards
stellte,presented
schwimmen,to swim
Ha,Ha
Fick,fuck
erlebt,experienced
ergibt,results
Gründe,reasons
Familien,Familys
älter,older
Wüste,Desert
spielte,played
ehe,before
trägst,carry
irgendjemand,anyone
Flucht,Escape
bieten,offer
Alarm,alarm
Stehen,Stand
schmeckt,tastes
riskieren,take risk
konzentrieren,focus
Flotte,fleet
Armen,poor
Darüber,About it
Sollten,Should
Nadia,Nadia
übergeben,hand over
Spiegel,Mirror
selten,rarely
Hure,whore
befreien,to free
starten,start
lebendig,lively
vernichten,destroy
vermissen,miss
Trinken,Drink
Spielen,Play
wahren,preserve
spüren,sense
m,m
Könntest,Could
Finde,Find
betrifft,regards
Besonders,Particularly
antworten,answer
angekommen,arrived
allerdings,however
Schlacht,battle
richtiger,more correct
Priester,priest
lm,lm
erzähl,tell
entweder,either
durcheinander,mixed up
begleiten,accompany
Truppen,troops
singt,sings
Krebs,Cancer
Gerechtigkeit,justice
Beide,Both
außerdem,aside from that
Zumindest,At least
Information,information
yeah,yeah
angesehen,viewed
überzeugen,convince
tötete,killed
Satz,Sentence
Kuh,Cow
Bulle,Bull
Bomben,Bombs
zählen,to count
normalerweise,normally
Lügner,Liar
leg,leg
Kugeln,Bullets
Dreh,Spin
arbeitete,worked
akzeptieren,accept
Zeugen,Witnesses
trennen,separate
hungrig,hungry
C,C
stört,disturbs
mehrere,several
ebenfalls,also
Wenigstens,At least
vorn,front
Stoff,Material
steigen,climb
Dave,Dave
Damals,At that time
beinahe,nearly
umzubringen,to kill
Talent,talent
stammt,comes from
Müll,Garbage
Gleiche,Same
Films,Films
Strafe,Penalty
Spannende,Exciting
lauter,volume up
Fähigkeit,Capability
Später,Later
Katie,Katie
frag,ask
Westen,west
verschwindet,disappears
Normalerweise,Normally
Logan,Logan
locker,relaxed
Leonard,Leonard
Leiter,Director
Jonathan,Jonathan
dahinter,behind it
angenommen,assumed
zuhören,listen
verlor,lost
Ted,Ted
sexy,sexy
Feld,Field
Beruhige,Calm down
aufnehmen,to record
schwarz,black
Kollegen,Colleagues
is,is
Walt,Walt
voraus,in advance
verhaften,to arrest
Grad,Degree
gleichzeitig,at the same time
versuchst,try
Helfen,Help
Unmöglich,Impossible
Universum,universe
Dummkopf,fool
boardtvuserde,boardtvusearth
saß,sat
Mexiko,Mexico
draussen,outside
begegnet,encountered
gucken,look
geholt,fetched
einverstanden,agreed
Marian,Marian
Brille,Glasses
wohne,live
Notfall,Emergency
Andere,Other
Verzeihen,Pardon
Spuren,Sense
Pizza,Pizza
grad,Degree
Quelle,source
Mitglied,Member
leichter,lighter
Dämon,demon
brennt,burns
herausgefunden,found out
fehlen,miss
erwarte,expect
Details,Details
begraben,to bury
Vegas,Vegas
Texas,Texas
geöffnet,open
verbracht,spent
steigt,increases
Klinik,clinic
beruhigen,calm
Sack,bag
laß,let
kochen,cook
auseinander,apart
Magst,Like
Kohle,Money
Jackson,Jackson
Rock,skirt
Nathan,Nathan
Sonntag,Sunday
Set,set
Presse,Press
ebenso,as well
Bravo,Bravo
Beerdigung,Burial
angreifen,attack
Untersuchung,Investigation
legt,lays
Japan,Japan
bestellt,ordered
Süden,south
Donna,donna
dicht,close
Hoch,High
gefolgt,followed
Fest,Firmly
Wunderbar,Wonderful
TV,TV
Treppe,Stairs
toten,kill
Stärke,Strength
ruiniert,ruined
Manager,Manager
leise,quiet
kosten,cost
Finden,Find
eurem,yours
Eindruck,Impression
dürfte,should
besiegen,defeat
trinke,drink
Militär,Military
Kevin,Kevin
Gift,Poison
deutlich,clearly
welchen,which
weißen,white
klingelt,rings
Bye,Bye
Etwa,Approximately
Schädel,skull
Findest,Find
Dinger,things
wichtige,important
taten,did
Vorschlag,Suggestion
Hintergrund,background
dienen,serve
Bestimmt,Definitely
rechtzeitig,punctual
wagen,dare
Montag,Monday
Daran,To it
drehten,turned
wartest,wait
untersuchen,investigate
rausfinden,find out
Dunkelheit,Darkness
Brot,Bread
wundervoll,wonderful
Thomas,Thomas
Kommando,command
Führer,Leader
vorgestellt,presented
nenne,name
nahmen,took
Maschinen,machinery
Wetter,Weather
Inspektor,inspector
Geschmack,The taste
erfüllt,Fulfills
Post,post
Mittagessen,Lunch
Schlafzimmer,bedroom
harte,hardness
gezwungen,forced
Wach,Awake
überlegt,considered
Hood,Hood
sitze,sit
Landes,country
dauernd,constantly
beobachten,observe
überprüft,checked
tollen,great
Schweine,Pigs
gelegt,placed
Elizabeth,Elizabeth
Personen,persons
kämpft,fights
ergeben,result
China,China
zurückkehren,to return
wechseln,change
Turk,Turk
Zahl,Number
Wache,guard
Schiffe,Ships
Ritter,Knight
perfekte,perfect
hergekommen,came here
gelebt,lived
frisch,fresh
Samstag,Saturday
roten,redden
Passt,Fits
Lippen,lips
Besten,Best
Admiral,admiral
wirken,works
schnappen,snap
Samurai,samurai
öfter,more often
Klamotten,Clothes
Arthur,Arthur
Wem,Whom
Tim,Tim
Street,Street
Realität,reality
Pech,Bad luck
Kleidung,Clothing
Geiseln,hostages
erlauben,allow
Schöne,Lovely
Russen,Russians
Bereich,Area
Figuren,characters
dumme,stupid ones
aufstehen,stand up
anhalten,stop
Staat,Country
geführt,guided
zog,pulled
streiten,argue
Schnee,Snow
Patient,patient
Beruf,Profession
willen,will
Tests,Testing
Curtis,Curtis
Sally,Sally
Roy,Roy
irgendeine,any
zuviel,too much
Verhalten,Behave
Tote,dead
Regel,Rule
interessieren,interested
aufgegeben,given up
Stolz,Proud
schlug,hit
neulich,recently
Madam,madam
Heimat,Hometown
Gegenteil,Opposite
atmen,breathe
Vampir,vampire
lebte,lived
he,hey
fähig,capable
erleben,experience
Entscheidungen,decisions
beschlossen,decided
Wurde,Became
Prozess,process
Mitleid,Pity
geworfen,thrown
drücken,press
Sterben,Die
ließen,let
jedoch,however
Cop,cop
befinden,condition
Shane,Shane
Osten,east
Gerät,Device
Chicago,Chicago
Wege,ways
Unterhaltung,Entertainment
Steht,Stands
esse,eat
eifersüchtig,jealous
Tanz,dance
lebend,live
genießen,enjoy
Chase,Chase
schwarze,black
High,High
beeindruckt,impressed
abgesehen,apart
sorge,worries
rote,Red
Stil,style
Hosen,Pants
Geräusch,noise
Cousin,cousin
wehtun,hurt
Verschwinden,Disappear
verlangen,demand
for,for
zusehen,watch
versuch,attempt
Station,station
Deiner,Yours
seitdem,since
schreibe,write
Lucy,Lucy
betrogen,cheated
anderem,other
Reaktion,reaction
nannte,called
erfolgreich,successful
Beweg,Move
aufregend,exciting
Simon,Simon
glaubte,believed
Whoa,Whoa
Turtle,Turtle
Tempel,temple
Teams,teams
setze,set
Linie,line
Lincoln,Lincoln
heilen,heal
feuern,to fire
Casey,Casey
Scheint,Appears
Liebes,Dear
Geburt,birth
Brauchst,Need
unterschreiben,sign
Schulden,Debts
Larry,Larry
hau,hew
Gewissen,Conscience
Ethan,Ethan
erfunden,invented
Sterne,Stars
Planet,planet
Internet,Internet
dritte,third
Möglichkeiten,Possibilities
dieselbe,the same
Dean,dean
manche,some
Anweisungen,instructions
Gedanke,Thought
Cent,cent
Besseres,Better
abend,evening
Trink,Drink
stell,put
Locke,Locke
Häuser,Houses
Gegen,Against
Crew,crew
Theorie,theory
Schulter,shoulder
raten,guess
Legen,Place
Politik,politics
jederzeit,at any time
Himmels,heaven
Fass,barrel
Deinem,yours
Welchen,Which
Schrank,Wardrobe
Magen,stomach
Einstellung,Attitude
Zigaretten,Cigarettes
Vögel,Birds
Sprechen,Speak
rauskommen,come out
Hinter,Behind
Griff,Handle
gemerkt,noticed
Lois,Lois
Knopf,Button
Ralph,Ralph
Irgendwann,Sometime
Chinesen,Chinese
Tunnel,tunnel
Smith,Smith
Ratte,rat
Fry,Fry
ficken,fuck
Artikel,Article
worüber,about what
einziges,only one
warnen,to warn
Verstärkung,Reinforcement
Schwestern,sisters
nieder,low
k,k
Jason,Jason
gewisse,certain
gaben,gifts
Frankreich,France
behauptet,claims
aufgefallen,noticed
Versteck,Hideout
Schwarze,black
rennen,run
R,R
gewarnt,warned
erstmal,for now
Babys,Babies
verschiedenen,different
einziger,only one
Mittag,Midday
Krankenwagen,ambulance
altes,old one
Sturm,Storm
Motor,engine
Fische,fish
Drama,drama
beten,pray
besseren,better
begonnen,began
West,West
trug,wore
Titel,title
Teile,Parts
rechten,right
meins,mine
Erzählen,Tell
Cops,Cops
treibt,drives
Zeigen,Show
vieles,a lot
unterstützen,support
loswerden,Get rid of
geträumt,dreamed
Decke,Ceiling
besucht,visited
Grunde,Reasons
daher,therefore
weiße,white
gefühlt,felt
dritten,third
Arbeiten,Work
Tolle,Great
Stücke,pieces
Schild,Sign
empfangen,received
Chancen,opportunities
Zylonen,Cylons
wiedersehen,see you again
fange,catch
vernünftig,reasonable
reisen,travel
packen,pack
Keinen,None
Holz,Wood
erfreut,pleased
Emma,Emma
Buchanan,Buchanan
bestätigt,confirmed
Aussage,Statement
anfassen,touch
Studio,Studio
Leck,leak
greifen,grab
armen,poor
Zweck,Purpose
Stimmung,Mood
Scheck,check
richten,judge
Michelle,Michelle
Lewis,Lewis
Helft,Help
Angelegenheit,matter
erschreckt,frightened
Zuschauer,Viewers
Zucker,Sugar
Vertrau,Trust
verteidigen,defend
probieren,try out
Neue,New
führte,led
angezogen,attracted
Sender,Channel
Patrick,Patrick
offenbar,apparently
hiermit,herewith
gelandet,landed
spüre,feel
Besitz,possession
Wut,Fury
verarschen,kidding
Leo,Leo
Denkt,Thinks
rot,red
Kaiser,Emperor
Jesse,Jesse
Group,Group
geheim,secret
normale,normal
Gehst,Go
fühl,feel
Celia,Celia
Bürger,Citizens
anbieten,offer
verdammtes,damn
praktisch,practical
Fangen,Catch
Einheiten,units
Arima,Arima
wiederhole,repeat
Spieler,player
Sequenz,sequence
prima,fine
Mantel,Coat
Kindheit,childhood
geküsst,kissed
beigebracht,taught
Verabredung,Appointment
Sieben,Seven
Scheißkerl,Motherfucker
Käse,Cheese
J,J
Fälle,cases
Spike,Spike
schneiden,cut
Passen,Fit
Jackie,Jackie
Gedächtnis,memory
Weißen,whites
stimmen,voices
lügt,lies
herkommen,come here
Freundinnen,girlfriends
Ei,egg
worum,what about
real,real
informiert,informed
gemeldet,reported
Dämonen,Demons
beantworten,answer
Barry,Barry
amerikanische,American
Zigarette,Cigarette
Suppe,Soup
Stern,star
